"","entry_nr","entry_date","entry_id","tournament","url","player","placement","character"
"11054",223,2019-01-17,"223-1","HST SP1 ","https://challonge.com/HSTSP1Singles
"," Nao ",7,"Mario"
"11079",223,2019-01-17,"223-4","SUN #1 ","https://challonge.com/ldtjyoog
"," Mixi ",7,"Mario"
"11103",225,2019-01-18,"225-1","Smashloft Weekly ","https://smash.gg/tournament/smashloft-ultimate-weekly-6/events/ultimate-singles/standings
"," FBLS ",7,"Mario"
"11108",226,2019-01-18,"226-1","Otaku Zone Season 1 Week 3 ","https://smash.gg/tournament/otaku-zone-season-1-week-3/events/singles/standings
"," Gidy ",5,"Mario"
"11220",244,2019-01-19,"244-3","DAT Monday Meltdown 155 ","https://datteam.challonge.com/dmm155
"," Streakz ",2,"Mario"
"11263",246,2019-01-20,"246-3","Ascension 4 ","https://smash.gg/tournament/ascension-4/events/ultimate-singles/brackets/520563/889162
"," Stroder ",1,"Mario"
"11363",252,2019-01-20,"252-1","Glitch 6 ","https://smash.gg/tournament/glitch-6/events/singles-1/brackets/451610/805688
"," Dark Wizzy ",5,"Mario"
"11400",252,2019-01-20,"252-1","Glitch 6 ","https://smash.gg/tournament/glitch-6/events/singles-1/brackets/451610/805688
"," Excalibur ",9,"Mario"
"11428",253,2019-01-20,"253-1","Glitch 6 ","https://smash.gg/tournament/glitch-6/events/singles-1/brackets/451610/805688
"," Dark Wizzy ",5,"Mario"
"11500",261,2019-01-21,"261-3","Recharged #2 Singles ","https://challonge.com/Recharged2
"," BBM Beast ",2,"Mario"
"11608",269,2019-01-23,"269-5","The Big Cheese 25 ","https://smash.gg/tournament/the-big-cheese-25/events/ultimate-singles/standings
"," Willow ",3,"Mario"
"11654",278,2019-01-25,"278-1","Ignition #167 ","https://urt.challonge.com/ignition167
"," Super Dan ",2,"Mario"
"11695",284,2019-01-27,"284-1","Retro Arena 64 ",NA," Super Dan ",4,"Mario"
"11712",284,2019-01-27,"284-2","Smash Bros at Church 7 ",NA," MastaMario ",5,"Mario"
"11765",286,2019-01-27,"286-1","Ultimate TGL #1 ",NA," MRRRRRRR ",7,"Mario"
"11777",289,2019-01-27,"289-2","Meltdown Ultimate Weeklies #7 ","https://smash.gg/tournament/meltdow...nts/singles-tournament/brackets/512415/879121
"," Yatta ",2,"Mario"
"11855",300,2019-01-29,"300-1","Mega Smash Mondays 174 ","https://smash.gg/tournament/mega-smash-mondays-174/events/ultimate-singles/overview
"," MastaMario ",4,"Mario"
"11917",307,2019-02-02,"307-2","BigWin Smash ","https://smash.gg/tournament/bigwinsmash-ultimate-showdown-2/events/ultimate-singles/standings
"," Titam ",9,"Mario"
"11994",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
","    Prodigy    ",3,"Mario"
"11998",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
","    Dark Wizzy    ",7,"Mario"
"12010",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
","    Ally    ",5,"Mario"
"12019",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
","    Zenyou    ",3,"Mario"
"12056",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
"," SilentRain ",5,"Mario"
"12081",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
"," teb",7,"Mario"
"12095",315,2019-02-04,"315-1","Genesi6 ","https://smash.gg/tournament/genesis-6/events/smash-for-switch-singles/standings
"," rude ",7,"Mario"
"12124",316,2019-02-04,"316-1","Genesis 6 ",NA," Prodigy ",3,"Mario"
"12125",316,2019-02-04,"316-1","Genesis 6 ",NA," Dark Wizzy ",7,"Mario"
"12151",316,2019-02-04,"316-1","Genesis 6 ",NA," Zenyou ",3,"Mario"
"12272",343,2019-02-10,"343-1","Heart of Battle ","https://smash.gg/tournament/heart-of-battle/events/ultimate-singles/brackets/510930/877254
"," MastaMario ",7,"Mario"
"12323",372,2019-02-13,"372-1","L'hiver des gamers 2019 ",NA," Vitch ",3,"Mario"
"12417",426,2019-02-18,"426-1","Evergreen Rising 6 ",NA," Duwang ",4,"Mario"
"12501",492,2019-02-24,"492-1","Smashdown minor ",NA," Jesus ",5,"Mario"
"12524",496,2019-02-24,"496-1","Phoenix Blue 2 ","https://smash.gg/tournament/phoenix-blue-2/events/ultimate-singles/brackets/545332/922696
"," Shido ",9,"Mario"
"12612",501,2019-02-25,"501-1","Frostbite 2019 ","https://smash.gg/tournament/frostbi...-bros-ultimate-singles/brackets/533725/906246
"," Ninja ",5,"Mario"
"12623",501,2019-02-25,"501-1","Frostbite 2019 ","https://smash.gg/tournament/frostbi...-bros-ultimate-singles/brackets/533725/906246
"," Dark Wizzy ",5,"Mario"
"12659",501,2019-02-25,"501-1","Frostbite 2019 ","https://smash.gg/tournament/frostbi...-bros-ultimate-singles/brackets/533725/906246
"," super dan ",7,"Mario"
"12662",501,2019-02-25,"501-1","Frostbite 2019 ","https://smash.gg/tournament/frostbi...-bros-ultimate-singles/brackets/533725/906246
"," Fons ",7,"Mario"
"12676",523,2019-03-01,"523-1","Weekly Smash Party #25 ",NA," Huto ",1,"Mario"
"12705",546,2019-03-03,"546-1","HST 2 ","https://challonge.com/HSTSP2T
"," Nao ",1,"Mario"
"12726",553,2019-03-03,"553-2","Nacional Dreammatch ",NA," Pelon ",5,"Mario"
"12740",554,2019-03-04,"554-1","Ultimate Nimbus ","https://smash.gg/tournament/2gg-x-m...vents/ultimate-singles/brackets/515221/882391
"," MastaMario ",9,"Mario"
"12746",554,2019-03-04,"554-1","Ultimate Nimbus ","https://smash.gg/tournament/2gg-x-m...vents/ultimate-singles/brackets/515221/882391
"," Prodigy ",7,"Mario"
"12750",554,2019-03-04,"554-1","Ultimate Nimbus ","https://smash.gg/tournament/2gg-x-m...vents/ultimate-singles/brackets/515221/882391
"," Zenyou ",7,"Mario"
"12805",564,2019-03-05,"564-1",NA,"https://challonge.com/cm29UsCornell "," Duwang ",4,"Mario"
"12848",599,2019-03-10,"599-1","Return to Subspace 2 ",NA," Dark Wizzy ",2,"Mario"
"12901",609,2019-03-11,"609-1","Sunday Smash ","https://vegassmash.challonge.com/ss031019
"," Durdle ",5,"Mario"
"12913",615,2019-03-11,"615-1","Juicy Monthly ","https://smash.gg/tournament/juicy-monthly-march-9th-2019/details
"," ",2,"Mario"
"12926",623,2019-03-12,"623-1","Synthesis 14 ","https://smash.gg/tournament/synthesis-14/events/ultimate-singles/standings
"," Don ",5,"Mario"
"12948",685,2019-03-16,"685-3","Smash À Lez Bi-Weekly #5 ","https://smash.gg/tournament/smash-a...smash-a-lez-biweekly-4/brackets/552277/931606
"," Yatta ",1,"Mario"
"12956",685,2019-03-16,"685-4","R4ndom Smash 9 ","https://tct.challonge.com/684qt8a
"," Vitch ",3,"Mario"
"12965",688,2019-03-17,"688-1","Ascension III ",NA," SilentRain ",2,"Mario"
"12986",690,2019-03-17,"690-1","LAN King Smash Royale III ","https://smash.gg/tournament/lan-king-smash-royale-iii/events/ultimate-singles/brackets/558896/940143
"," FroZn",7,"Mario"
"13029",700,2019-03-18,"700-1","Esports Arena Smash Ultimate Tournament ","https://smash.gg/tournament/esports...ressive/events/singles/brackets/558899/940146
"," Prodigy ",4,"Mario"
"13036",700,2019-03-18,"700-1","Esports Arena Smash Ultimate Tournament ","https://smash.gg/tournament/esports...ressive/events/singles/brackets/558899/940146
"," Teb ",9,"Mario"
"13097",724,2019-03-23,"724-2","Smash It Up ","https://vegassmash.challonge.com/SIU_15/standings
"," Durdle ",5,"Mario"
"13128",731,2019-03-24,"731-1","Uprising 2019 ",NA," Stroder ",1,"Mario"
"13160",738,2019-03-24,"738-1","Full Bloom 5 ","https://smash.gg/tournament/full-bloom-5/events/ultimate-singles/brackets/538711/915067
"," Muffle ",7,"Mario"
"13185",742,2019-03-25,"742-1",NA,"https://smash.gg/tournament/qualifi...e-vs-lux-crew-battle/standings?page=1&sortBy=Qualifications "," Shido ",4,"Mario"
"13191",743,2019-03-25,"743-1","Smashdown ",NA," ANTi ",1,"Mario"
"13274",786,2019-03-31,"786-4",NA,"https://smash.gg/tournament/tech-chase-ultimate/events/ultimate-singles/bracketshttps://twitter.com/PK_Pauleke/status/1112485574584266753
"," Mata-Door ",2,"Mario"
"13316",790,2019-04-01,"790-1","Battle of BC 3 ",NA," Ally ",2,"Mario"
"13329",790,2019-04-01,"790-1","Battle of BC 3 ",NA," Duwang ",3,"Mario"
"13337",790,2019-04-01,"790-1","Battle of BC 3 ",NA," Irkaz ",7,"Mario"
"13371",807,2019-04-07,"807-1","Suplex City Smash ","https://smash.gg/tournament/suplex-city-smash/events/ultimate-singles/standings
"," Dark Wizzy ",4,"Mario"
"13415",815,2019-04-08,"815-1","Ultimate Smash Stadium 9 https://nmexst.challonge.com/wh6wpsc7 ","https://nmexst.challonge.com/wh6wpsc7 "," Fizz Khalifa ",4,"Mario"
"13455",819,2019-04-09,"819-2","Mega Smash Mondays 184 ","https://smash.gg/tournament/mega-smash-mondays-184/events/ultimate-singles/standings
"," MastaMario ",7,"Mario"
"13506",823,2019-04-14,"823-1","Sumabato SP 3 ","https://challonge.com/SumabatoSP3T
"," Ron ",3,"Mario"
"13532",823,2019-04-14,"823-1","Sumabato SP 3 ","https://challonge.com/SumabatoSP3T
"," Tatsutsuyo ",5,"Mario"
"13551",824,2019-04-14,"824-1","2GG: Prime Saga ","https://smash.gg/tournament/2gg-prime-saga-1/events/ultimate-singles/brackets/495899/859565
"," Stroder ",3,"Mario"
"13555",824,2019-04-14,"824-1","2GG: Prime Saga ","https://smash.gg/tournament/2gg-prime-saga-1/events/ultimate-singles/brackets/495899/859565
"," Teb ",7,"Mario"
"13608",824,2019-04-14,"824-1","2GG: Prime Saga ","https://smash.gg/tournament/2gg-prime-saga-1/events/ultimate-singles/brackets/495899/859565
"," Prodigy ",5,"Mario"
"13626",824,2019-04-14,"824-1","2GG: Prime Saga ","https://smash.gg/tournament/2gg-prime-saga-1/events/ultimate-singles/brackets/495899/859565
"," Rice ",5,"Mario"
